Symbol	Type	Comment	Address
RCT_304_AGIT_SPD	Int	Reactor 4 agitator speed (rpm)	%MW1432
RCT_304_JKT_TEMP	Float	Reactor 4 jacket temperature (degC)	%MD1434
RCT_304_JKT_VALVE	Int	Reactor 4 jacket valve position (%)	%MW1436
RCT_304_TEMP_HI	Bit	Reactor 4 high temperature alarm	%MX179.6
RCT_304_PRESS_HI	Bit	Reactor 4 high pressure alarm	%MX180.0
RCT_304_BATCH	Text	Reactor 4 batch identifier	%MW1442
RCT_304_STEP	Int	Reactor 4 recipe step	%MW1444
DOS_401_RUN	Bit	Dosing pump 1 running	%MX180.6
DOS_401_FLT	Bit	Dosing pump 1 fault	%MX181.0
DOS_401_SETPOINT	Float	Dosing pump 1 setpoint (L/h)	%MD1450
DOS_401_ACTUAL	Float	Dosing pump 1 actual (L/h)	%MD1452
DOS_402_RUN	Bit	Dosing pump 2 running	%MX181.6
DOS_402_FLT	Bit	Dosing pump 2 fault	%MX182.0
DOS_402_SETPOINT	Float	Dosing pump 2 setpoint (L/h)	%MD1458
DOS_402_ACTUAL	Float	Dosing pump 2 actual (L/h)	%MD1460
DOS_403_RUN	Bit	Dosing pump 3 running	%MX182.6
DOS_403_FLT	Bit	Dosing pump 3 fault	%MX183.0
DOS_403_SETPOINT	Float	Dosing pump 3 setpoint (L/h)	%MD1466
DOS_403_ACTUAL	Float	Dosing pump 3 actual (L/h)	%MD1468
DOS_404_RUN	Bit	Dosing pump 4 running	%MX183.6
DOS_404_FLT	Bit	Dosing pump 4 fault	%MX184.0
DOS_404_SETPOINT	Float	Dosing pump 4 setpoint (L/h)	%MD1474
DOS_404_ACTUAL	Float	Dosing pump 4 actual (L/h)	%MD1476
DOS_405_RUN	Bit	Dosing pump 5 running	%MX184.6
DOS_405_FLT	Bit	Dosing pump 5 fault	%MX185.0
DOS_405_SETPOINT	Float	Dosing pump 5 setpoint (L/h)	%MD1482
DOS_405_ACTUAL	Float	Dosing pump 5 actual (L/h)	%MD1484
DOS_406_RUN	Bit	Dosing pump 6 running	%MX185.6
DOS_406_FLT	Bit	Dosing pump 6 fault	%MX186.0
DOS_406_SETPOINT	Float	Dosing pump 6 setpoint (L/h)	%MD1490
DOS_406_ACTUAL	Float	Dosing pump 6 actual (L/h)	%MD1492
DOS_407_RUN	Bit	Dosing pump 7 running	%MX186.6
DOS_407_FLT	Bit	Dosing pump 7 fault	%MX187.0
DOS_407_SETPOINT	Float	Dosing pump 7 setpoint (L/h)	%MD1498
DOS_407_ACTUAL	Float	Dosing pump 7 actual (L/h)	%MD1500
DOS_408_RUN	Bit	Dosing pump 8 running	%MX187.6
DOS_408_FLT	Bit	Dosing pump 8 fault	%MX188.0
DOS_408_SETPOINT	Float	Dosing pump 8 setpoint (L/h)	%MD1506
DOS_408_ACTUAL	Float	Dosing pump 8 actual (L/h)	%MD1508
CIP_STEP	Int	Clean-in-place step	%MW1510
CIP_RUN	Bit	Clean-in-place running	%MX189.0
CIP_TEMP	Float	CIP supply temperature (degC)	%MD1514
CIP_COND	Float	CIP conductivity (mS/cm)	%MD1516
AREA_MODE	Int	Area mode	%MW1518
AREA_ALARM	Bit	Area common alarm	%MX190.0
